Date,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,County FIPS Code,County,Site Latitude,Site Longitude
01/02/2025,261250001,1,4.9,ug/m3 LC,27,Oak Park,125,Oakland,42.46306341,-83.18319868
01/03/2025,261250001,1,3.9,ug/m3 LC,22,Oak Park,125,Oakland,42.46306341,-83.18319868
01/04/2025,261250001,1,2.2,ug/m3 LC,12,Oak Park,125,Oakland,42.46306341,-83.18319868
01/05/2025,261250001,1,3.8,ug/m3 LC,21,Oak Park,125,Oakland,42.46306341,-83.18319868
01/06/2025,261250001,1,2.7,ug/m3 LC,15,Oak Park,125,Oakland,42.46306341,-83.18319868
01/07/2025,261250001,1,1.8,ug/m3 LC,10,Oak Park,125,Oakland,42.46306341,-83.18319868
01/08/2025,261250001,1,2.5,ug/m3 LC,14,Oak Park,125,Oakland,42.46306341,-83.18319868
01/09/2025,261250001,1,4.8,ug/m3 LC,27,Oak Park,125,Oakland,42.46306341,-83.18319868
01/10/2025,261250001,1,22.7,ug/m3 LC,76,Oak Park,125,Oakland,42.46306341,-83.18319868
01/11/2025,261250001,1,15.9,ug/m3 LC,64,Oak Park,125,Oakland,42.46306341,-83.18319868
01/12/2025,261250001,1,15.6,ug/m3 LC,63,Oak Park,125,Oakland,42.46306341,-83.18319868
01/13/2025,261250001,1,7,ug/m3 LC,39,Oak Park,125,Oakland,42.46306341,-83.18319868
01/14/2025,261250001,1,5.9,ug/m3 LC,33,Oak Park,125,Oakland,42.46306341,-83.18319868
01/15/2025,261250001,1,6.2,ug/m3 LC,34,Oak Park,125,Oakland,42.46306341,-83.18319868
01/16/2025,261250001,1,15.4,ug/m3 LC,63,Oak Park,125,Oakland,42.46306341,-83.18319868
01/17/2025,261250001,1,9.9,ug/m3 LC,52,Oak Park,125,Oakland,42.46306341,-83.18319868
01/18/2025,261250001,1,5.5,ug/m3 LC,31,Oak Park,125,Oakland,42.46306341,-83.18319868
01/19/2025,261250001,1,2.8,ug/m3 LC,16,Oak Park,125,Oakland,42.46306341,-83.18319868
